,timestamp,distance(L),pupil(L),distance(R),pupil(R),duration,gazepointX,gazepointY,avg_distance,avg_pupil
0,80,667.153,3.531,670.676,3.4330000000000003,179,667,394,668.9145000000001,3.482
1,279,665.466,3.398,670.7560000000001,3.343,419,630,289,668.1110000000001,3.3705
2,717,663.8660000000001,3.364,662.475,3.281,239,696,272,663.1705000000001,3.3225
3,977,659.0089999999999,3.37,654.374,3.253,279,625,275,656.6914999999999,3.3115
4,1475,648.9630000000001,3.3810000000000002,649.576,3.304,160,256,199,649.2695000000001,3.3425000000000002
5,1674,646.317,3.5669999999999997,643.6569999999999,3.536,120,235,205,644.987,3.5515
6,2611,-1.0,-1.0,555.19,3.3089999999999997,120,71,250,277.095,1.1544999999999999
7,3170,608.974,3.574,581.878,3.515,339,35,607,595.426,3.5445
8,3529,613.7959999999999,3.592,605.278,3.425,299,43,660,609.537,3.5084999999999997
9,3848,626.86,3.6069999999999998,619.941,3.409,857,45,690,623.4005,3.508
10,4805,630.186,3.469,623.482,3.392,399,38,614,626.8340000000001,3.4305
11,5263,631.4590000000001,3.5580000000000003,622.5459999999999,3.612,160,468,739,627.0025,3.585
12,5483,634.809,3.5210000000000004,628.543,3.6710000000000003,160,721,624,631.6759999999999,3.596
13,5662,638.844,3.5010000000000003,623.409,3.4189999999999996,758,710,601,631.1265000000001,3.46
14,6599,624.758,3.148,622.806,3.142,160,9,598,623.782,3.145
15,6778,623.506,3.267,618.779,3.1919999999999997,1017,23,615,621.1424999999999,3.2295
16,7855,628.823,3.535,622.7040000000001,3.3789999999999996,199,735,618,625.7635,3.457
17,8074,629.077,3.4619999999999997,622.504,3.303,718,694,612,625.7905000000001,3.3825
18,8812,630.789,3.451,622.33,3.255,179,685,610,626.5595000000001,3.3529999999999998
19,9012,626.004,3.332,622.4490000000001,3.161,239,710,616,624.2265,3.2465
20,9291,627.624,3.2319999999999998,625.7919999999999,3.353,857,40,649,626.708,3.2925
21,10168,618.543,3.195,625.627,3.16,100,52,659,622.085,3.1775
22,10367,626.008,3.162,623.681,3.177,120,765,596,624.8445,3.1695
23,10507,626.009,3.245,623.8580000000001,3.2239999999999998,199,704,590,624.9335000000001,3.2344999999999997
24,10925,626.962,3.533,628.002,3.457,857,676,605,627.482,3.495
25,11803,628.944,3.263,621.84,3.302,160,722,610,625.392,3.2824999999999998
26,11982,629.295,3.2539999999999996,623.01,3.267,199,727,617,626.1524999999999,3.2604999999999995
27,12201,630.029,3.25,624.001,3.2969999999999997,100,736,639,627.015,3.2735
28,12500,630.957,3.358,623.866,3.266,199,728,671,627.4114999999999,3.3120000000000003
29,12720,629.515,3.432,622.686,3.262,199,741,670,626.1005,3.347
30,12939,628.675,3.3289999999999997,624.323,3.395,160,705,669,626.499,3.362
31,13119,630.8330000000001,3.352,627.095,3.2510000000000003,379,680,672,628.964,3.3015
32,13577,633.937,3.548,626.135,3.427,379,737,676,630.0360000000001,3.4875
33,13976,632.557,3.513,623.66,3.301,459,755,711,628.1085,3.407
34,14793,637.104,3.366,626.784,3.298,239,737,847,631.944,3.332
35,15053,637.9590000000001,3.699,629.494,3.537,120,737,856,633.7265,3.618
36,15192,636.486,3.543,630.362,3.5180000000000002,100,718,887,633.424,3.5305
37,15332,635.747,3.515,631.054,3.4219999999999997,279,718,870,633.4005,3.4684999999999997
38,15730,635.818,3.378,631.773,3.385,139,712,898,633.7955,3.3815
39,15910,635.229,3.3810000000000002,632.52,3.31,100,745,688,633.8745,3.3455000000000004
40,16049,632.309,3.4210000000000003,630.967,3.3280000000000003,140,744,692,631.6379999999999,3.3745000000000003
41,16209,628.914,3.3569999999999998,629.062,3.2289999999999996,578,733,654,628.988,3.2929999999999997
42,16807,626.64,3.4139999999999997,623.234,3.3569999999999998,219,738,656,624.937,3.3854999999999995
43,17046,626.6469999999999,3.22,622.194,3.2310000000000003,140,698,659,624.4205,3.2255000000000003
44,17365,617.22,3.2969999999999997,-1.0,-1.0,100,744,686,308.11,1.1484999999999999
45,17485,615.692,3.45,615.692,3.355,199,787,721,615.692,3.4025
46,17804,615.206,3.6510000000000002,617.4490000000001,3.533,279,770,740,616.3275000000001,3.592
47,18103,609.731,3.373,614.7040000000001,3.3280000000000003,1216,773,772,612.2175,3.3505000000000003
48,19399,612.7130000000001,3.285,616.196,3.253,120,24,694,614.4545,3.269
49,19558,620.307,3.1239999999999997,624.585,3.1189999999999998,419,33,688,622.446,3.1214999999999997
50,20196,623.72,3.219,625.229,3.1710000000000003,100,44,702,624.4745,3.1950000000000003
51,20316,621.645,3.2439999999999998,628.009,3.177,957,-5,693,624.827,3.2104999999999997
52,21572,624.543,3.307,628.21,3.37,140,8,704,626.3765000000001,3.3385
53,21732,623.81,3.3739999999999997,624.781,3.372,479,49,726,624.2955,3.3729999999999998
54,22230,623.742,3.458,625.573,3.386,419,49,781,624.6575,3.422
55,22669,626.0930000000001,3.4210000000000003,626.967,3.304,339,48,795,626.53,3.3625
